@relation InstanceResultListener

@attribute Key_Dataset {car_v3-weka.filters.unsupervised.attribute.Remove-R1}
@attribute Key_Run {1,2,3,4,5,6,7,8}
@attribute Key_Fold {1,2,3,4,5}
@attribute Key_Scheme {weka.classifiers.lazy.IBk,weka.classifiers.trees.J48}
@attribute Key_Scheme_options {'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 10 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 20 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-C 0.25 -M 2','-C 0.25 -M 15'}
@attribute Key_Scheme_version_ID {-3080186098777067172,-217733168393644444}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 50\nSize of the tree: 99\n','Number of leaves: 47\nSize of the tree: 93\n','Number of leaves: 44\nSize of the tree: 87\n','Number of leaves: 45\nSize of the tree: 89\n','Number of leaves: 48\nSize of the tree: 95\n','Number of leaves: 51\nSize of the tree: 101\n','Number of leaves: 40\nSize of the tree: 79\n','Number of leaves: 55\nSize of the tree: 109\n','Number of leaves: 49\nSize of the tree: 97\n','Number of leaves: 41\nSize of the tree: 81\n','Number of leaves: 46\nSize of the tree: 91\n','Number of leaves: 42\nSize of the tree: 83\n','Number of leaves: 18\nSize of the tree: 35\n','Number of leaves: 17\nSize of the tree: 33\n','Number of leaves: 19\nSize of the tree: 37\n','Number of leaves: 20\nSize of the tree: 39\n','Number of leaves: 21\nSize of the tree: 41\n','Number of leaves: 22\nSize of the tree: 43\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

car_v3-weka.filters.unsupervised.attribute.Remove-R1,1,1,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20201126.1452,1382,346,293,53,0,84.682081,15.317919,0,0.67128,0.077451,0.276351,33.785572,81.648375,418.068304,554.061659,-135.993355,1.20829,1.601334,-0.393044,264.343821,0.763999,63.229816,0.921488,223,0.125,13,0.875,91,0.078512,19,0.944915,0.921488,0.933054,0.784244,0.898244,0.925641,0.846821,0.11342,0.88658,0.153179,0.851715,0.846821,0.848718,0.721537,0.8667,0.792314,0.702248,0.846821,0.004,0.139,0,0.140625,0,140.625,120603,118910,30850,84.682081,25,?,?,?,?
car_v3-weka.filters.unsupervised.attribute.Remove-R1,1,2,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20201126.1452,1382,346,306,40,0,88.439306,11.560694,0,0.748756,0.058719,0.24008,25.614343,70.931811,418.068304,418.425049,-0.356744,1.20829,1.209321,-0.001031,299.258179,0.864908,71.581169,0.954545,231,0.096154,10,0.903846,94,0.045455,11,0.958506,0.954545,0.956522,0.856065,0.929196,0.94673,0.884393,0.084981,0.915019,0.115607,0.885429,0.884393,0.884878,0.796965,0.899706,0.831612,0.752445,0.884393,0.003,0.098,0,0.078125,0,78.125,120603,118910,30850,88.439306,25,?,?,?,?
car_v3-weka.filters.unsupervised.attribute.Remove-R1,1,3,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20201126.1452,1382,346,298,48,0,86.127168,13.872832,0,0.714084,0.070246,0.262993,30.642792,77.70173,418.068304,501.893732,-83.825428,1.20829,1.45056,-0.24227,282.376722,0.816118,67.543203,0.909091,220,0.038462,4,0.961538,100,0.090909,22,0.982143,0.909091,0.944206,0.835514,0.935315,0.956441,0.861272,0.054059,0.945941,0.138728,0.878278,0.861272,0.866105,0.770297,0.903606,0.825539,0.716441,0.861272,0.003,0.283,0,0.046875,0,46.875,120603,118910,30850,86.127168,25,?,?,?,?
car_v3-weka.filters.unsupervised.attribute.Remove-R1,1,4,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20201126.1452,1383,345,310,35,0,89.855072,10.144928,0,0.781945,0.05166,0.2249,22.588648,66.658023,413.465974,366.289714,47.17626,1.198452,1.061709,0.136743,309.953243,0.898415,74.964631,0.954545,231,0.048544,5,0.951456,98,0.045455,11,0.978814,0.954545,0.966527,0.891838,0.953001,0.966206,0.898551,0.051122,0.948878,0.101449,0.901285,0.898551,0.899132,0.8314,0.923714,0.858642,0.752566,0.898551,0.003,0.058,0,0.046875,0,46.875,120688,118995,30765,89.855072,25,?,?,?,?
car_v3-weka.filters.unsupervised.attribute.Remove-R1,1,5,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20201126.1452,1383,345,294,51,0,85.217391,14.782609,0,0.678166,0.074781,0.27148,32.670501,80.371174,415.901949,533.243766,-117.341817,1.205513,1.545634,-0.340121,268.262857,0.777573,64.501467,0.938017,227,0.135922,14,0.864078,89,0.061983,15,0.941909,0.938017,0.939959,0.799883,0.901047,0.927004,0.852174,0.116554,0.883446,0.147826,0.854956,0.852174,0.853135,0.733358,0.86781,0.794409,0.702281,0.852174,0.003,0.049,0.015625,0.046875,15.625,46.875,120688,118995,30765,85.217391,25,?,?,?,?
car_v3-weka.filters.unsupervised.attribute.Remove-R1,2,1,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20201126.1452,1382,346,298,48,0,86.127168,13.872832,0,0.706105,0.070246,0.262993,30.642792,77.70173,418.068304,501.893732,-83.825428,1.20829,1.45056,-0.24227,284.173572,0.821311,67.973001,0.913223,221,0.105769,11,0.894231,93,0.086777,21,0.952586,0.913223,0.932489,0.787672,0.903727,0.930617,0.861272,0.098908,0.901092,0.138728,0.86915,0.861272,0.864033,0.742269,0.881182,0.814515,0.760226,0.861272,0.005,0.079,0,0.0625,0,62.5,120603,118910,30850,86.127168,25,?,?,?,?
car_v3-weka.filters.unsupervised.attribute.Remove-R1,2,2,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20201126.1452,1382,346,297,49,0,85.83815,14.16185,0,0.695548,0.071687,0.265719,31.271348,78.506933,418.068304,512.327318,-94.259013,1.20829,1.480715,-0.272425,276.199206,0.798264,66.065569,0.929752,225,0.115385,12,0.884615,92,0.070248,17,0.949367,0.929752,0.939457,0.803817,0.907184,0.931809,0.858382,0.104204,0.895796,0.141618,0.861864,0.858382,0.858822,0.743043,0.877089,0.804626,0.716154,0.858382,0.002,0.051,0,0.046875,0,46.875,120603,118910,30850,85.83815,25,?,?,?,?
car_v3-weka.filters.unsupervised.attribute.Remove-R1,2,3,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20201126.1452,1382,346,296,50,0,85.549133,14.450867,0,0.698322,0.073128,0.268416,31.899904,79.303961,418.068304,522.760903,-104.692599,1.20829,1.51087,-0.30258,278.626444,0.805279,66.646154,0.921488,223,0.067308,7,0.932692,97,0.078512,19,0.969565,0.921488,0.944915,0.829623,0.92709,0.948356,0.855491,0.071318,0.928682,0.144509,0.868754,0.855491,0.860773,0.758403,0.892087,0.815417,0.71649,0.855491,0.002,0.046,0,0.015625,0,15.625,120603,118910,30850,85.549133,25,?,?,?,?
car_v3-weka.filters.unsupervised.attribute.Remove-R1,2,4,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20201126.1452,1383,345,291,54,0,84.347826,15.652174,0,0.663183,0.079117,0.279351,34.59435,82.796681,413.465974,564.547651,-151.081676,1.198452,1.63637,-0.437918,254.581667,0.737918,61.57258,0.929752,225,0.106796,11,0.893204,92,0.070248,17,0.95339,0.929752,0.941423,0.810091,0.911478,0.935692,0.843478,0.100652,0.899348,0.156522,0.85274,0.843478,0.847462,0.731544,0.871413,0.793588,0.666579,0.843478,0.002,0.044,0,0.046875,0,46.875,120688,118995,30765,84.347826,25,?,?,?,?
car_v3-weka.filters.unsupervised.attribute.Remove-R1,2,5,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20201126.1452,1383,345,304,41,0,88.115942,11.884058,0,0.746564,0.06033,0.243414,26.357162,72.062326,415.901949,428.897484,-12.995535,1.205513,1.243181,-0.037668,293.672582,0.851225,70.611014,0.938017,227,0.058252,6,0.941748,97,0.061983,15,0.974249,0.938017,0.955789,0.859816,0.939882,0.95734,0.881159,0.062542,0.937458,0.118841,0.889223,0.881159,0.884364,0.799267,0.909309,0.839278,0.745972,0.881159,0.001,0.047,0,0.046875,0,46.875,120688,118995,30765,88.115942,25,?,?,?,?
car_v3-weka.filters.unsupervised.attribute.Remove-R1,3,1,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20201126.1452,1382,346,299,47,0,86.416185,13.583815,0,0.717492,0.068805,0.26024,30.014236,76.888096,418.068304,491.460147,-73.391843,1.20829,1.420405,-0.212115,282.389175,0.816154,67.546181,0.913223,221,0.048077,5,0.951923,99,0.086777,21,0.977876,0.913223,0.944444,0.83343,0.932573,0.953713,0.864162,0.060577,0.939423,0.135838,0.877732,0.864162,0.868722,0.771106,0.901793,0.826704,0.724124,0.864162,0.002,0.052,0,0.0625,0,62.5,120603,118910,30850,86.416185,25,?,?,?,?
car_v3-weka.filters.unsupervised.attribute.Remove-R1,3,2,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20201126.1452,1382,346,297,49,0,85.83815,14.16185,0,0.693861,0.071687,0.265719,31.271348,78.506933,418.068304,512.327318,-94.259013,1.20829,1.480715,-0.272425,277.865095,0.803078,66.464043,0.938017,227,0.125,13,0.875,91,0.061983,15,0.945833,0.938017,0.941909,0.808659,0.906508,0.93056,0.858382,0.108709,0.891291,0.141618,0.859323,0.858382,0.858498,0.744001,0.874836,0.804251,0.719451,0.858382,0.002,0.056,0,0.015625,0,15.625,120603,118910,30850,85.83815,25,?,?,?,?
car_v3-weka.filters.unsupervised.attribute.Remove-R1,3,3,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20201126.1452,1382,346,303,43,0,87.572254,12.427746,0,0.732569,0.063042,0.24892,27.500011,73.543597,418.068304,449.725805,-31.657501,1.20829,1.299786,-0.091496,301.300999,0.870812,72.069802,0.942149,228,0.115385,12,0.884615,92,0.057851,14,0.95,0.942149,0.946058,0.822332,0.913382,0.935504,0.875723,0.097829,0.902171,0.124277,0.878761,0.875723,0.876281,0.771697,0.888947,0.824216,0.77512,0.875723,0.001,0.047,0,0.046875,0,46.875,120603,118910,30850,87.572254,25,?,?,?,?
car_v3-weka.filters.unsupervised.attribute.Remove-R1,3,4,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20201126.1452,1383,345,297,48,0,86.086957,13.913043,0,0.696842,0.070446,0.263375,30.803076,78.061557,413.465974,501.939881,-88.473907,1.198452,1.454898,-0.256446,273.835633,0.793726,66.229303,0.933884,226,0.126214,13,0.873786,90,0.066116,16,0.945607,0.933884,0.939709,0.801141,0.903835,0.929464,0.86087,0.111207,0.888793,0.13913,0.863045,0.86087,0.861644,0.743424,0.874832,0.805227,0.721478,0.86087,0.004,0.046,0,0.046875,0,46.875,120688,118995,30765,86.086957,25,?,?,?,?
car_v3-weka.filters.unsupervised.attribute.Remove-R1,3,5,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20201126.1452,1383,345,293,52,0,84.927536,15.072464,0,0.678201,0.076226,0.274129,33.301835,81.155285,415.901949,543.678394,-127.776445,1.205513,1.575879,-0.370367,262.469456,0.760781,63.108494,0.921488,223,0.097087,10,0.902913,93,0.078512,19,0.957082,0.921488,0.938947,0.805708,0.9122,0.937011,0.849275,0.09481,0.90519,0.150725,0.858894,0.849275,0.852782,0.737053,0.877233,0.799788,0.689997,0.849275,0.001,0.045,0.015625,0.03125,15.625,31.25,120688,118995,30765,84.927536,25,?,?,?,?
